datetime,open,high,low,close,volume
2025-10-09 19:00:00,1.1611,1.16272,1.1603,1.1612,0
2025-10-09 23:00:00,1.1612,1.16224,1.15471,1.15588,0
2025-10-10 03:00:00,1.15596,1.15664,1.15421,1.15595,0
2025-10-10 07:00:00,1.15593,1.15687,1.1559,1.15687,0
2025-10-10 11:00:00,1.15651,1.1574,1.15609,1.15731,0
2025-10-10 15:00:00,1.15728,1.15798,1.1561,1.15778,0
2025-10-10 19:00:00,1.15777,1.15892,1.15606,1.15609,0
2025-10-10 23:00:00,1.15613,1.16305,1.15593,1.16126,0
2025-10-11 03:00:00,1.16124,1.16255,1.15971,1.16126,0
2025-10-11 07:00:00,1.16128,1.16285,1.16039,1.16131,0
2025-10-13 07:00:00,1.15934,1.16131,1.15934,1.1605,0
2025-10-13 11:00:00,1.16011,1.16275,1.16,1.16208,0
2025-10-13 15:00:00,1.16207,1.16296,1.15976,1.15998,0
2025-10-13 19:00:00,1.15999,1.16048,1.15657,1.15683,0
2025-10-13 23:00:00,1.15683,1.15774,1.15574,1.15738,0
2025-10-14 03:00:00,1.15738,1.15789,1.15658,1.15662,0
2025-10-14 07:00:00,1.15661,1.15737,1.15636,1.15657,0
2025-10-14 11:00:00,1.15652,1.15818,1.1555,1.15795,0
2025-10-14 15:00:00,1.15787,1.15935,1.15427,1.15495,0
2025-10-14 19:00:00,1.15484,1.15631,1.15456,1.15521,0
2025-10-14 23:00:00,1.15529,1.16081,1.1548,1.16072,0
2025-10-15 03:00:00,1.16076,1.16147,1.16013,1.16055,0
2025-10-15 07:00:00,1.16055,1.16158,1.15999,1.16063,0
2025-10-15 11:00:00,1.16024,1.16258,1.16017,1.1622,0
2025-10-15 15:00:00,1.16226,1.16442,1.16169,1.16356,0
2025-10-15 19:00:00,1.16359,1.16453,1.16197,1.16199,0
2025-10-15 23:00:00,1.16203,1.16468,1.16105,1.1637,0
2025-10-16 03:00:00,1.16374,1.16448,1.16269,1.16445,0
2025-10-16 07:00:00,1.16443,1.1655,1.16417,1.16496,0
2025-10-16 11:00:00,1.16456,1.16752,1.16429,1.16621,0
2025-10-16 15:00:00,1.16621,1.16676,1.16432,1.16521,0
